Code,Name,Credit
60213104,Object-oriented Programming,3
60213105,Object-oriented Programming Laboratory,1
60213106,Fundamental of Digital,3
60213107,Data Structure and Algorithm,3
60213204,Computer Graphics,3
60213205,Computer Operating System,3
60213206,Web Programming,3
60213207,System Analysis and Design,3
60213341,Co-operative Education Preparation,1
60213412,Information Technology Project II 2,3
60213410,Information Technology Seminar,1
60223212,Unknow,3
60213202,Database System,3
60223109,Microprocessor and Interfaceing,3
60213503,Information Science Lab I 1,1
60213505,Information Science Lab III 3,1
60213507,Decision Support Systems,3
60213511,Information Systems Security,3
60213540,Distributed and Client Server Processing,3
60213543,Data Mining,3
60213510,Selected Topics in Information Science,3
60213545,Information Systems for Business,3
60213606,Basic of Photography and Video,3
60213602,Multimedia Technology Lab. II 2,1
60213608,3D Modeling and Animation 3,3
60213644,Multimedia Design and Development,3
60213645,Web Design,3
662336,Information Technology Project Management,3
60213604,Selected Topics in Multimedia Technology,3
664305,Multimedia Technology Lab. III 3,1
60213701,Network Technology Laboratory I 1,1
60213703,Network Security,3
60213708,Network System Administration,3
60213709,Fundamental of Network Management and Tools,3
60213711,Network Services Laboratory,1
60213710,Advanced Network Systems Design and Security,3
60213705,Selected Topics in Network Technology,3
60213742,Advanced Web Technology and Protocols,3
60213741,Embeded Internet System,3
60213801,Computer Application for Business,3
60213804,Business Technology Laboratory II 2,1
60213806,Selected Topic in Business Technology,3
60213850,Business Intelligence System,3
60213845,Electronic Business Processes,3
60213805,Business Technology Laboratory III 3,1
666321,Data Mining for Business,3
60223226,Application Software for Engineering,3
60213541,Information Technology Project Management,3
60223221,Programmable Logic Concroller and Automation System,3
60213843,Enterprise Resource Planning Application,3
